Datetime,Consumer_ID,Type,Consumption_kWh,Is_Theft
2025-07-17 20:16:07.318263,1,Residential,2.3506607198547327,0
2025-07-17 21:16:07.318263,1,Residential,3.335370322433941,0
2025-07-17 22:16:07.318263,1,Residential,2.698864889994228,0
2025-07-17 23:16:07.318263,1,Residential,1.1658450817691763,0
2025-07-18 00:16:07.318263,1,Residential,0.5732043359592174,0
2025-07-18 01:16:07.318263,1,Residential,0.5156249942377154,0
2025-07-18 02:16:07.318263,1,Residential,0.71006140421596,0
2025-07-18 03:16:07.318263,1,Residential,0.7878977525278823,0
2025-07-18 04:16:07.318263,1,Residential,1.176322670015332,0
2025-07-18 05:16:07.318263,1,Residential,0.6816091525783025,0
2025-07-18 06:16:07.318263,1,Residential,0.8320627538452869,0
2025-07-18 07:16:07.318263,1,Residential,0.6197059568145388,0
2025-07-18 08:16:07.318263,1,Residential,0.7123447953476507,0
2025-07-18 09:16:07.318263,1,Residential,0.4421681715973265,0
2025-07-18 10:16:07.318263,1,Residential,0.7279067380264903,0
2025-07-18 11:16:07.318263,1,Residential,0.3803938947204676,0
2025-07-18 12:16:07.318263,1,Residential,1.1318839445406543,0
2025-07-18 13:16:07.318263,1,Residential,1.0790009024461389,0
2025-07-18 14:16:07.318263,1,Residential,1.0752566524486198,0
2025-07-18 15:16:07.318263,1,Residential,0.7225059511170135,0
2025-07-18 16:16:07.318263,1,Residential,0.5982544502036264,0
2025-07-18 17:16:07.318263,1,Residential,0.9238640103368936,0
2025-07-18 18:16:07.318263,1,Residential,3.7905018008971583,0
2025-07-18 19:16:07.318263,1,Residential,4.147238175151432,0
2025-07-18 20:16:07.318263,1,Residential,3.5750460197685614,0
2025-07-18 21:16:07.318263,1,Residential,2.475199014401017,0
2025-07-18 22:16:07.318263,1,Residential,2.388651773648484,0
2025-07-18 23:16:07.318263,1,Residential,0.325867781966231,0
2025-07-19 00:16:07.318263,1,Residential,0.5361861760855628,0
2025-07-19 01:16:07.318263,1,Residential,0.2353295835716859,0
2025-07-19 02:16:07.318263,1,Residential,0.7666266720779978,0
2025-07-19 03:16:07.318263,1,Residential,0.2867724029701953,0
2025-07-19 04:16:07.318263,1,Residential,0.5956212784270123,0
2025-07-19 05:16:07.318263,1,Residential,0.2138892314440016,0
2025-07-19 06:16:07.318263,1,Residential,0.4522871639917264,0
2025-07-19 07:16:07.318263,1,Residential,0.627966817750626,0
2025-07-19 08:16:07.318263,1,Residential,0.7958967895359351,0
2025-07-19 09:16:07.318263,1,Residential,0.2232585349453573,0
2025-07-19 10:16:07.318263,1,Residential,0.7689658303353776,0
2025-07-19 11:16:07.318263,1,Residential,0.2808836273040638,0
2025-07-19 12:16:07.318263,1,Residential,0.3092651003353083,0
2025-07-19 13:16:07.318263,1,Residential,0.6292839531957485,0
2025-07-19 14:16:07.318263,1,Residential,0.7652431391944761,0
2025-07-19 15:16:07.318263,1,Residential,0.7610163524666228,0
2025-07-19 16:16:07.318263,1,Residential,0.3987152118332726,0
2025-07-19 17:16:07.318263,1,Residential,0.6597231336844668,0
2025-07-19 18:16:07.318263,1,Residential,2.385230328412125,0
2025-07-19 19:16:07.318263,1,Residential,2.560307825137744,0
2025-07-19 20:16:07.318263,1,Residential,2.363531826936689,0
2025-07-19 21:16:07.318263,1,Residential,2.0900409641861755,0
2025-07-19 22:16:07.318263,1,Residential,1.6814562659393075,0
2025-07-19 23:16:07.318263,1,Residential,0.4892363128401627,0
2025-07-20 00:16:07.318263,1,Residential,0.7333338174387083,0
2025-07-20 01:16:07.318263,1,Residential,0.4062253129256312,0
2025-07-20 02:16:07.318263,1,Residential,0.3882091637942412,0
2025-07-20 03:16:07.318263,1,Residential,0.7049691124022822,0
2025-07-20 04:16:07.318263,1,Residential,0.7332578665712888,0
2025-07-20 05:16:07.318263,1,Residential,0.8575936576026217,0
2025-07-20 06:16:07.318263,1,Residential,0.8654469913051113,0
2025-07-20 07:16:07.318263,1,Residential,0.4585882106492864,0
2025-07-20 08:16:07.318263,1,Residential,0.2990917841499799,0
2025-07-20 09:16:07.318263,1,Residential,0.2509191041485704,0
2025-07-20 10:16:07.318263,1,Residential,0.501419078316881,0
2025-07-20 11:16:07.318263,1,Residential,0.8050849005021159,0
2025-07-20 12:16:07.318263,1,Residential,0.5804174216626756,0
2025-07-20 13:16:07.318263,1,Residential,0.5724192864675771,0
2025-07-20 14:16:07.318263,1,Residential,0.426881413750913,0
2025-07-20 15:16:07.318263,1,Residential,0.5127812717215926,0
2025-07-20 16:16:07.318263,1,Residential,0.265891318173686,0
2025-07-20 17:16:07.318263,1,Residential,0.2527232987737036,0
2025-07-20 18:16:07.318263,1,Residential,2.627839696096582,0
2025-07-20 19:16:07.318263,1,Residential,2.816720608085126,0
2025-07-20 20:16:07.318263,1,Residential,2.155594420347749,0
2025-07-20 21:16:07.318263,1,Residential,1.6256826183756845,0
2025-07-20 22:16:07.318263,1,Residential,2.5719856075117824,0
2025-07-20 23:16:07.318263,1,Residential,0.4912255240101805,0
2025-07-21 00:16:07.318263,1,Residential,0.3507444249742578,0
2025-07-21 01:16:07.318263,1,Residential,0.7823573090117384,0
2025-07-21 02:16:07.318263,1,Residential,0.2735543551012992,0
2025-07-21 03:16:07.318263,1,Residential,0.4746185093264228,0
2025-07-21 04:16:07.318263,1,Residential,0.4216076517745651,0
2025-07-21 05:16:07.318263,1,Residential,1.0362596420475505,0
2025-07-21 06:16:07.318263,1,Residential,0.8054770116727801,0
2025-07-21 07:16:07.318263,1,Residential,0.3749153104285588,0
2025-07-21 08:16:07.318263,1,Residential,0.3250466457887396,0
2025-07-21 09:16:07.318263,1,Residential,0.4384529739465537,0
2025-07-21 10:16:07.318263,1,Residential,0.600120562130714,0
2025-07-21 11:16:07.318263,1,Residential,0.6065542325303755,0
2025-07-21 12:16:07.318263,1,Residential,0.7533490415184236,0
2025-07-21 13:16:07.318263,1,Residential,1.1710343535236405,0
2025-07-21 14:16:07.318263,1,Residential,0.9475097361598472,0
2025-07-21 15:16:07.318263,1,Residential,0.6911393665611798,0
2025-07-21 16:16:07.318263,1,Residential,0.9910169624180072,0
2025-07-21 17:16:07.318263,1,Residential,0.9802719076304348,0
2025-07-21 18:16:07.318263,1,Residential,3.5155581745854496,0
2025-07-21 19:16:07.318263,1,Residential,2.741943839114108,0
2025-07-21 20:16:07.318263,1,Residential,2.768689351689138,0
2025-07-21 21:16:07.318263,1,Residential,3.932750389728081,0
2025-07-21 22:16:07.318263,1,Residential,2.0982395142681303,0
2025-07-21 23:16:07.318263,1,Residential,0.333057788691061,0
2025-07-22 00:16:07.318263,1,Residential,0.6207865553312326,0
2025-07-22 01:16:07.318263,1,Residential,0.7514283257353028,0
2025-07-22 02:16:07.318263,1,Residential,0.7183066944992093,0
2025-07-22 03:16:07.318263,1,Residential,1.3334724942840432,0
2025-07-22 04:16:07.318263,1,Residential,0.3870725858459674,0
2025-07-22 05:16:07.318263,1,Residential,0.3229042307933911,0
2025-07-22 06:16:07.318263,1,Residential,0.5044997193669207,0
2025-07-22 07:16:07.318263,1,Residential,1.052117070439153,0
2025-07-22 08:16:07.318263,1,Residential,1.1715308640164015,0
2025-07-22 09:16:07.318263,1,Residential,0.8447968911969553,0
2025-07-22 10:16:07.318263,1,Residential,0.8802980689156698,0
2025-07-22 11:16:07.318263,1,Residential,1.201606089276105,0
2025-07-22 12:16:07.318263,1,Residential,0.987919213961824,0
2025-07-22 13:16:07.318263,1,Residential,0.9203028770747748,0
2025-07-22 14:16:07.318263,1,Residential,0.6681178903421372,0
2025-07-22 15:16:07.318263,1,Residential,0.4749437877876874,0
2025-07-22 16:16:07.318263,1,Residential,1.028676061704125,0
2025-07-22 17:16:07.318263,1,Residential,0.62317174854926,0
2025-07-22 18:16:07.318263,1,Residential,2.520007280414004,0
2025-07-22 19:16:07.318263,1,Residential,2.378586484091415,0
2025-07-22 20:16:07.318263,1,Residential,3.35651299653358,0
2025-07-22 21:16:07.318263,1,Residential,2.9199565374128094,0
2025-07-22 22:16:07.318263,1,Residential,2.489374321678015,0
2025-07-22 23:16:07.318263,1,Residential,0.740568118775285,0
2025-07-23 00:16:07.318263,1,Residential,0.3333951378069421,0
